Modern Boston Outlines.kml	Modern Boston Outlines
Museum of Science	-71.07239121697199,42.36779916325605,0 -71.07228323555795,42.36791972854069,0 -71.07223365086746,42.36789685984144,0 -71.07226867557301,42.3678514297262,0 -71.07198328044301,42.36769823387601,0 -71.07202147927761,42.36766863761363,0 -71.07194120096881,42.36762749654316,0 -71.07207498922288,42.36749933640957,0 -71.07157927280075,42.36725223983172,0 -71.07143963961475,42.36738064805489,0 -71.07137774615998,42.36734409229381,0 -71.07132810584373,42.36737862584192,0 -71.07121991553552,42.36731943752002,0 -71.07123847727686,42.36729182039753,0 -71.071167396207,42.36725095060339,0 -71.07121687781962,42.36719738051848,0 -71.07096921867267,42.36708327396795,0 -71.07087826143847,42.36718415138969,0 -71.07029543345725,42.36687195763813,0 -71.07034052037571,42.36680752785532,0 -71.07032042038512,42.36673320190458,0 -71.07023406938917,42.36668986793599,0 -71.07012730137788,42.36669531636372,0 -71.07007045966431,42.3667625071627,0 -71.06999630260013,42.36672130955192,0 -71.06996169399916,42.36676131468394,0 -71.06998015289263,42.36677494595713,0 -71.06971792558271,42.36704554833094,0 -71.0697763399627,42.36707276321353,0 -71.069773611995,42.36709091437037,0 -71.06977416999496,42.36712490933321,0 -71.06979907545076,42.36716562036325,0 -71.06984817748342,42.36721075508709,0 -71.07099704555431,42.36779843836969,0 -71.07110949469808,42.3676725610384,0 -71.07171182717916,42.36797500978055,0 -71.07172121357783,42.36795934454363,0 -71.07205969194625,42.3681273448992,0 -71.07188417409286,42.36833977491982,0 -71.07276353848266,42.36878803073567,0 -71.07330928263347,42.36824802099645,0 -71.07239121697199,42.36779916325605,0
New England Aquarium	-71.04873791830013,42.3595014371268,0 -71.04988723786973,42.35931189913025,0 -71.04994276341664,42.35926816337284,0 -71.05004289262266,42.35926601152738,0 -71.05009843459297,42.35919194796256,0 -71.04974500682982,42.3591461288641,0 -71.04968036251118,42.35917439718718,0 -71.0497510862604,42.35920271898673,0 -71.04971291866457,42.35923319557961,0 -71.04968050385233,42.3592201149556,0 -71.04960180656002,42.35909261634466,0 -71.04976655242497,42.35906031271541,0 -71.04977534616363,42.35898633380704,0 -71.04950924160086,42.35902326116732,0 -71.04930512110317,42.3589856322951,0 -71.04929783735261,42.35896443459032,0 -71.04890634712874,42.35902323158898,0 -71.04887673267709,42.35893745083467,0 -71.04849740584002,42.35899630628178,0 -71.04858953120019,42.35926809124893,0 -71.04842234817561,42.35929702949436,0 -71.04849141718029,42.35951106010322,0 -71.04873012565236,42.3594657256948,0 -71.04873791830013,42.3595014371268,0
Charles F. Hurley State Service Center	-71.06254632105163,42.36357173093491,0 -71.06351881207443,42.36334535013182,0 -71.06353709361727,42.36293430579499,0 -71.06363622312671,42.3629343865376,0 -71.0636730766757,42.36192051215232,0 -71.06358771278032,42.36191781230161,0 -71.0636072123488,42.36156885445468,0 -71.06305645244218,42.36147594639645,0 -71.06273656525727,42.36208659359508,0 -71.0628337047486,42.36224194315072,0 -71.06306060859048,42.36221458376729,0 -71.06306469207418,42.36202240712498,0 -71.06311339823861,42.36192020895702,0 -71.0632107515905,42.36193226640226,0 -71.06317126871417,42.36319018906352,0 -71.06278361860944,42.36327170960671,0 -71.06203787713763,42.36310967455314,0 -71.06191583157377,42.3634221108415,0 -71.06254632105163,42.36357173093491,0
Park Street Church	-71.06234657805186,42.35696705149663,0 -71.06205615338158,42.35667650765247,0 -71.06204806310143,42.35668556304416,0 -71.06202177261208,42.35668251164655,0 -71.06199749791402,42.35668097265446,0 -71.06196916851748,42.35668539456507,0 -71.06194691032211,42.35669434583949,0 -71.06184582551523,42.35675723239199,0 -71.06182967761693,42.35677071992804,0 -71.0618176153465,42.35679171298539,0 -71.06181161295301,42.35680820358191,0 -71.0618036035177,42.35682768004344,0 -71.06209814924085,42.35710622977992,0 -71.06234657805186,42.35696705149663,0
North End Branch Library	-71.05514275848351,42.36407332240069,0 -71.05489084335917,42.3639185779193,0 -71.0546680816703,42.36410216489278,0 -71.05491982158983,42.36426466929755,0 -71.05514275848351,42.36407332240069,0
Arthur Fielder Footbridge	-71.0742690403725,42.35608825811413,0 -71.07421250905753,42.35610307191858,0 -71.07414253179644,42.35611883738579,0 -71.07404193293102,42.35613759906632,0 -71.07394561845268,42.35615251479398,0 -71.07383115483438,42.35615987227323,0 -71.07373326252775,42.35615530587239,0 -71.07362270414794,42.35614404571243,0 -71.07352590614248,42.35612501123705,0 -71.07343335726057,42.35609934795654,0 -71.07336072916674,42.35607481114047,0 -71.07328027966635,42.3560405421551,0 -71.07320850276943,42.35599761745843,0 -71.07314158954892,42.35595069647941,0 -71.07307283810805,42.35590285293684,0 -71.07301047407321,42.35583125918197,0 -71.07295327132888,42.35575581158262,0 -71.07292411389622,42.35570586816018,0 -71.07289651138034,42.35571378319215,0 -71.07292433810872,42.35576860668066,0 -71.07297345432266,42.3558400890082,0 -71.07305407267584,42.35592139543589,0 -71.07313333330626,42.35598685357111,0 -71.07323424552096,42.35604439895128,0 -71.07335958779176,42.35610500794949,0 -71.07349414997714,42.35614745745659,0 -71.07364796438036,42.35617552374826,0 -71.0738096247361,42.35618929244572,0 -71.0739363920013,42.35617934285744,0 -71.07405684519624,42.35616538957293,0 -71.07417499115493,42.35614566512453,0 -71.07428534642679,42.35611505969874,0 -71.0742690403725,42.35608825811413,0
Josiah F. Quincy School	-71.06466816723231,42.34928276901356,0 -71.06484412258851,42.34919150486611,0 -71.06482215444449,42.34916739293696,0 -71.06487554438731,42.34914321579102,0 -71.06493444491696,42.34920156199047,0 -71.06523652517141,42.34906539050909,0 -71.06527085266239,42.34906741942915,0 -71.06533115468487,42.34888559426166,0 -71.06527467429382,42.34887542403308,0 -71.0652930396334,42.34880298102211,0 -71.06525853908646,42.3487979035143,0 -71.06528955539352,42.34868941271608,0 -71.0649691100063,42.34863641515408,0 -71.06497327480547,42.34860667397892,0 -71.06431139001985,42.34851063432868,0 -71.06422247847962,42.34880931445853,0 -71.06420168784345,42.34880725271508,0 -71.06414389964137,42.34899051277404,0 -71.06453608324047,42.34905334530637,0 -71.06441999161669,42.3491211507972,0 -71.06455799407735,42.34918450299323,0 -71.06466816723231,42.34928276901356,0
John Hancock Tower	-71.07546886078443,42.34883186825727,0 -71.07457962658079,42.34906479429196,0 -71.07537043590536,42.34960908774696,0 -71.07584675167301,42.34949336277208,0 -71.07546886078443,42.34883186825727,0
Baker House	-71.09617732840607,42.35661400590924,0 -71.09620192485637,42.35639318896765,0 -71.09614170319055,42.35635968981425,0 -71.09590192137492,42.35659293643621,0 -71.09571556393374,42.35651754093508,0 -71.09557355203411,42.35669404414163,0 -71.09553144717628,42.35667909121732,0 -71.09548183557472,42.35668000609424,0 -71.09545247888148,42.35668503145651,0 -71.09541968597283,42.35670026827291,0 -71.09538945790062,42.35671895701656,0 -71.09537024802665,42.35674791310608,0 -71.09535249901782,42.35677369266507,0 -71.09533484830153,42.35679504467414,0 -71.09531120001553,42.35681432635978,0 -71.09528228539305,42.35682078443193,0 -71.09525268439093,42.35681545473756,0 -71.09522952924409,42.3568053050564,0 -71.09504145113438,42.35673116673999,0 -71.09502827321651,42.35675433658486,0 -71.09505071824685,42.35676430507724,0 -71.09503606698905,42.3567750201149,0 -71.09506593545302,42.35678610795522,0 -71.09505218240885,42.35680159765558,0 -71.09508375224064,42.35681278082243,0 -71.0950660036891,42.35683684707371,0 -71.0952551726505,42.35692163043474,0 -71.09526843513943,42.35694988395675,0 -71.09529189990657,42.35696695040151,0 -71.09534168653428,42.35698625449608,0 -71.09555237683034,42.35690863198285,0 -71.09556322033529,42.35689861854364,0 -71.09561651625759,42.35691975622345,0 -71.09565161334213,42.35687020294834,0 -71.09592003251694,42.35678419138473,0 -71.09592045203583,42.3567654964947,0 -71.09598470591347,42.35674806672237,0 -71.09598263192105,42.35667747197316,0 -71.09617732840607,42.35661400590924,0
Kresge Auditorium	-71.09521068573042,42.35798837975955,0 -71.09504220378551,42.35796239589602,0 -71.09490166735225,42.35795754331209,0 -71.09475956108636,42.35798692490008,0 -71.09473616904756,42.35809317609056,0 -71.09477556159989,42.35820761088423,0 -71.09485956448192,42.35830328590257,0 -71.09500194185389,42.35839191641554,0 -71.09510832117373,42.3583183136231,0 -71.09519874082252,42.35823608905006,0 -71.09527245237712,42.35814388876504,0 -71.09535245678116,42.35803017781258,0 -71.09521068573042,42.35798837975955,0
