New Boston,MAP,Building,Address,Location,Architect,Date,Polygon Coordinates
12,A2,Graduate Student Housing,1 Western Ave,Harvard,Machado and Silvetti Associates,2003,"-71.11959501924126,42.36499254972106,0 -71.11948024727016,42.36421715710536,0 -71.11878835868562,42.36427364531108,0 -71.1187860581464,42.36439726584653,0 -71.11882235821787,42.36439299936953,0 -71.11881880944685,42.36450022463998,0 -71.11878636971267,42.36450587351155,0 -71.11877370231657,42.36481425608401,0 -71.11881385474699,42.36480992213317,0 -71.11880631510495,42.36485810511686,0 -71.11852844458099,42.36488611101643,0 -71.1185265336963,42.36491178830357,0 -71.11850729311556,42.3649147328196,0 -71.11849577482508,42.36507341556795,0 -71.11903319320685,42.36502558114468,0 -71.11903998763493,42.36487350259299,0 -71.11899579720534,42.36487767884111,0 -71.11900548748477,42.36439441962062,0 -71.11932467030474,42.36436646808883,0 -71.11941852627083,42.3650091659232,0 -71.11959501924126,42.36499254972106,0"
13,A2,Graduate Student Apartments,10 Akron St,Harvard,Kyu Sung Woo,2008,"-71.11569285059583,42.36572777951825,0 -71.11571821129652,42.36531473621726,0 -71.11553201429727,42.36530910479646,0 -71.11551323508922,42.36555379939534,0 -71.11519904597972,42.36554168743085,0 -71.11525973938234,42.3653299621806,0 -71.11506865263127,42.3653223501313,0 -71.11494999977521,42.36569378458025,0 -71.11569285059583,42.36572777951825,0"
14,A3,Honan-Allston Branch Library,300 North Harvard St,Allston,Machado and Silvetti Associates,2001,"-71.12817775742815,42.36026594364652,0 -71.12826524872051,42.36033050727288,0 -71.12840504987935,42.36023350138218,0 -71.1281550839312,42.36003545685067,0 -71.12820083160902,42.36000575160922,0 -71.12812261996953,42.3599711629468,0 -71.12798772673335,42.35983588016606,0 -71.12793755574761,42.3598046438314,0 -71.12784950048072,42.35986879863864,0 -71.12789179942131,42.35989832169438,0 -71.12779124531052,42.3599657811401,0 -71.12784132831756,42.36000522491153,0 -71.12772723775841,42.36008113544937,0 -71.12770497461898,42.36006301573526,0 -71.12758972929532,42.36013983859768,0 -71.12797620206689,42.36044595631665,0 -71.12808717893269,42.36037028815344,0 -71.12783427093002,42.36016938341396,0 -71.12795062225806,42.36008589672738,0 -71.12807468754161,42.36018243368996,0 -71.12795616411344,42.36026521412722,0 -71.12805692816417,42.36034710778369,0 -71.12817775742815,42.36026594364652,0"
15,H4,Institute of Contemporary Art,100 Northern Ave,Seaport District,Diller Scofidio + Renfro ,2006,"-71.04328555915941,42.35278301235302,0 -71.04281820900711,42.35258529171767,0 -71.04248866249912,42.35300427202689,0 -71.04291306082452,42.35316613612979,0 -71.04328555915941,42.35278301235302,0"
16,C6,Isabella Stewart Gardner Museum,280 The Fenway,Fenway,"Willard T. Sears, Renzo Piano","1902, 2012","-71.09889034677158,42.3388760821875,0 -71.09941072854924,42.33811648496263,0 -71.09906748547068,42.33798028850763,0 -71.09927444429407,42.337675409067,0 -71.09913543935487,42.33761313275156,0 -71.09881488433476,42.33807628809037,0 -71.0991279922055,42.33820268854328,0 -71.09897733590715,42.33841707222063,0 -71.09885159530296,42.33837144311009,0 -71.09859187501587,42.33876551633483,0 -71.09889034677158,42.3388760821875,0"
17,A1,Laboratory for Integrated Science and Engineering,15 Oxford St,Harvard,Rafael Moneo,2006,"-71.11650934689033,42.37765823348823,0 -71.11661300580097,42.37761334659976,0 -71.11680338814959,42.37757504882898,0 -71.11671644593198,42.37734867659371,0 -71.11654557843869,42.37738042334485,0 -71.11635620198787,42.37687582797875,0 -71.11611876568787,42.37692556044736,0 -71.11634714541569,42.37754576343984,0 -71.11645687405901,42.37752333499244,0 -71.11650934689033,42.37765823348823,0"
18,G4,Lincoln Street Garage,125 Lincoln St,Greenway,"Archie Riskin, Brian Healy Architects","1955, 1958, 1997","-71.05861500573599,42.35100623285278,0 -71.05834349144004,42.35167814164449,0 -71.05854008947082,42.3517178780677,0 -71.05863376663756,42.35164010520798,0 -71.05869953012865,42.35157596507739,0 -71.05876301910601,42.35150478462901,0 -71.05882411419954,42.35143533776939,0 -71.05888030052834,42.3513573902962,0 -71.05893625361701,42.35127102550715,0 -71.05898306709267,42.35118446959245,0 -71.05902994987348,42.35109264496477,0 -71.05861500573599,42.35100623285278,0"
19,D3,List Visual Arts Center,20 Ames St,MIT,I.M. Pei and Partners,1985,"-71.0881259835537,42.36097477795516,0 -71.08789758850826,42.36059753406485,0 -71.08733521615869,42.3607711298493,0 -71.08757745186452,42.361156693151,0 -71.0881259835537,42.36097477795516,0"
20,G5,Macallen Building,141 Dorchester Ave,South Boston,Office dA,2007,"-71.05841846152725,42.34243108847424,0 -71.05855829139338,42.34211543018399,0 -71.05728449126083,42.34176386579614,0 -71.05729816882355,42.34213636141032,0 -71.05841846152725,42.34243108847424,0"
21,D3,Media Lab,25 Carleton St,MIT,Fumihiko Maki,2010,"-71.08767227694105,42.36019878161897,0 -71.08722424420677,42.36035022702314,0 -71.08721537641593,42.36033500646335,0 -71.08699071458922,42.36040899198285,0 -71.08708875915686,42.36057410609141,0 -71.08710777324698,42.3605686692196,0 -71.0872195232498,42.36076359938767,0 -71.08731443680695,42.36073330315286,0 -71.0873366798794,42.36077112941847,0 -71.0878990610141,42.36059753160907,0 -71.08767227694105,42.36019878161897,0"
